"event_id","r_event_id","trigger_id","source","host_group","host_group_id","export_month","exported_at_local","severity","severity_id","status","acknowledged","host","host_id","site_code","problem_raw","problem_signature","opdata","started_at_local","started_at_utc","recovered_at_local","recovered_at_utc","duration_seconds","duration_text","action_count","domain","component","scope","tags_text","tags_json","evidence_label"
"1450675155","1450698301","1401395","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM02","15352","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T10:11:37+07:00","2026-04-15T03:11:37Z","2026-04-15T10:15:31+07:00","2026-04-15T03:15:31Z","234","3m 54s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450673523","1450736634","1401388","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM04","15354","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T10:11:30+07:00","2026-04-15T03:11:30Z","2026-04-15T10:22:26+07:00","2026-04-15T03:22:26Z","656","10m 56s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450668521","1450686128","1401394","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM01","15351","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T10:10:36+07:00","2026-04-15T03:10:36Z","2026-04-15T10:12:33+07:00","2026-04-15T03:12:33Z","117","1m 57s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450666864","1450669089","1350636","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM02","15352","SNT","ITCenter HTTP Monitoring","itcenter http monitoring","","2026-04-15T10:10:10+07:00","2026-04-15T03:10:10Z","2026-04-15T10:10:54+07:00","2026-04-15T03:10:54Z","44","44s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450665816","1450691354","1401393","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSEMS01","15350","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T10:09:34+07:00","2026-04-15T03:09:34Z","2026-04-15T10:13:30+07:00","2026-04-15T03:13:30Z","236","3m 56s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450664629","1450666159","1350635","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM01","15351","SNT","ITCenter HTTP Monitoring","itcenter http monitoring","","2026-04-15T10:09:02+07:00","2026-04-15T03:09:02Z","2026-04-15T10:09:51+07:00","2026-04-15T03:09:51Z","49","49s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450657038","1450665215","1401388","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM04","15354","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T10:07:30+07:00","2026-04-15T03:07:30Z","2026-04-15T10:09:21+07:00","2026-04-15T03:09:21Z","111","1m 51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450648174","1450673747","1401396","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM03","15353","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T10:06:38+07:00","2026-04-15T03:06:38Z","2026-04-15T10:11:31+07:00","2026-04-15T03:11:31Z","293","4m 53s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450647619","1450663240","1401394","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM01","15351","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T10:06:35+07:00","2026-04-15T03:06:35Z","2026-04-15T10:08:33+07:00","2026-04-15T03:08:33Z","118","1m 58s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450637193","1450684691","1059044","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMMDN-VSEMS01","15372","MDN","Http Monitoring","http monitoring","","2026-04-15T10:04:16+07:00","2026-04-15T03:04:16Z","2026-04-15T10:12:11+07:00","2026-04-15T03:12:11Z","475","7m 55s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
